result of N=2, Alpha=1.0, a=1.0, No Error, Computation time: 0.097663516
result of N=2, Alpha=1.0, a=5.0, No Error, Computation time: 0.031443316
result of N=4, Alpha=1.0, a=5.0, No Error, Computation time: 0.427606106
